CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50 
1.786,0.702,1.081,0,0,-1.265,8.132
3.734,0.223,1.374,2,2,2.642,4.586
3.265,0.496,0.962,0,1,3.055,4.732
1.92,1.079,1.738,0,0,2.604,3.408
3.738,1.131,1.584,1,2,2.558,4.422
3.601,0.223,1.35,3,2,2.545,4.32
2.11,0.773,0.773,0,1,2.57,3.36
2.983,0.496,2.106,0,0,-0.521,1.68
2.11,0.58,0.805,0,0,1.61,3.787
2.442,0.934,0.984,0,1,3.259,4.208
3.024,0.452,2.698,0,0,1.107,0.45
1.634,0.798,1.093,0,0,0.68,2.569
3.332,0.134,1.068,0,0,2.242,3.806
2.802,0.223,1.6,1,0,1.064,4.423
3.57,1.374,2.259,0,0,2.05,6.083
2.126,0.405,0.917,4,2,0.411,6.38
3.462,0.405,1.717,0,1,2.06,4.557
3.188,1.182,1.244,0,1,1.845,5.012
4.121,0.829,1.551,0,1,3.913,5.653
2.876,0.928,1.372,0,1,1.737,6.148
2.512,0.223,0.929,1,0,1.769,3.919
4.81,0.693,1.42,0,2,5.426,2.548
2.955,0.331,1.313,0,0,0.652,2.961
2.233,0.64,0.92,0,1,2.102,3.615
2.462,0.223,1.625,1,0,0.655,3.654
2.126,0.83,0.899,0,0,3.478,4.263
1.783,0.331,1.667,0,0,0.087,1.777
2.536,0.429,0.871,0,1,1.237,2.537
2.019,1.126,0.793,0,0,3.314,4.737
3.023,0.56,1.168,0,1,1.75,3.379
2.366,0.405,1.735,0,0,-0.534,0.242
1.279,1.16,1.714,0,0,1.209,2.936
2.024,0.83,1.761,0,0,2.226,2.928
3.749,0.331,1.278,0,0,2.773,4.777
2.728,0.223,0.953,0,0,1.859,3.897
4.005,0.223,1.545,0,1,3.953,5.055
3.247,0.638,0.889,0,1,2.922,4.68
2.217,0.659,0.788,0,0,1.758,3.727
3.394,0.0,0.868,0,0,3.677,4.199
2.026,0.223,1.429,1,0,0.202,5.259
2.755,0.405,1.559,0,1,0.996,3.123
2.495,0.56,0.835,0,1,1.643,1.969
2.479,0.887,0.954,0,0,1.748,4.912
3.08,0.223,1.385,0,0,1.195,2.07
2.755,0.405,1.844,0,1,0.996,3.231
2.815,0.56,1.585,0,2,0.43,2.758
3.179,0.0,1.063,0,0,2.942,3.822
1.977,1.112,0.881,0,0,2.37,4.798
2.126,0.405,1.69,1,1,0.479,3.573
3.559,0.223,1.36,0,0,2.446,3.458
3.41,0.134,1.722,0,0,-1.174,3.017
2.495,0.56,0.835,1,0,1.099,4.023
3.012,0.223,1.023,0,0,2.193,3.92
2.333,0.251,2.327,0,0,-0.241,3.884
3.532,0.134,1.518,0,0,2.813,3.959
2.62,0.499,0.99,0,0,3.21,3.84
2.728,0.223,0.953,0,0,1.591,2.371
2.439,0.93,0.924,0,0,1.748,5.007
3.103,0.134,1.344,0,0,1.533,3.174
2.233,0.64,0.92,1,0,2.37,4.805
2.126,0.83,1.455,0,1,2.459,5.82
4.114,0.223,1.571,0,0,4.098,5.219
3.098,0.93,1.075,0,0,2.702,6.236
2.802,0.223,1.6,0,1,1.064,1.999
2.215,0.887,0.888,0,0,1.395,4.084
2.26,0.604,0.836,0,0,3.045,4.194
3.222,1.501,0.872,0,0,5.149,5.861
3.788,0.693,1.365,0,2,2.576,4.664
3.461,0.223,1.12,0,0,2.813,4.672
2.636,0.827,0.999,0,0,2.573,4.393
2.572,1.834,1.35,0,2,3.115,8.471
2.215,0.887,0.888,0,0,1.395,4.33
1.774,0.429,2.299,0,0,-0.41,1.897
3.514,0.0,1.375,2,2,3.038,4.465
3.219,0.811,1.127,0,0,2.604,4.759
2.594,0.251,0.861,0,0,1.68,3.112
3.426,0.693,1.488,0,1,1.294,3.025
3.629,0.223,0.802,0,0,3.571,4.269
2.479,0.887,0.954,0,0,1.748,4.458
3.012,0.223,1.023,0,0,2.193,3.751
2.126,0.251,1.114,0,0,0.143,2.157
3.027,0.331,1.472,1,0,1.807,3.51
3.378,1.38,1.25,0,0,1.654,5.933
3.739,0.0,1.25,1,2,3.267,2.149
3.101,1.535,1.326,0,1,1.655,6.238
3.452,0.331,1.098,0,1,2.54,3.742
3.587,0.675,2.108,0,0,2.527,3.656
3.739,0.0,1.161,0,0,4.431,5.68
3.462,0.405,1.717,0,1,2.06,4.208
3.728,0.956,1.17,0,0,4.789,5.574
3.219,0.811,1.127,0,0,2.604,4.257
1.429,0.223,1.75,1,0,-0.317,3.076
3.739,0.0,1.204,0,1,3.374,5.434
2.122,1.621,1.511,0,0,2.64,5.677
2.834,0.134,0.95,0,0,1.591,3.021
4.255,1.695,1.087,0,0,2.294,4.475
3.111,0.732,0.923,0,0,4.068,5.643
2.111,1.477,1.298,0,0,3.225,5.73
2.507,0.405,1.5,0,2,0.076,2.851
1.751,0.629,1.483,0,0,-0.317,0.361
2.031,0.854,2.591,0,0,-0.816,2.689
4.327,0.56,1.254,2,5,3.399,6.683
2.251,0.638,0.871,1,0,1.61,4.175
2.079,0.988,0.836,0,1,2.481,2.608
1.965,1.028,0.762,0,0,2.116,5.303
3.921,0.251,1.398,0,0,1.622,3.416
2.456,0.331,0.875,0,1,1.294,2.263
2.218,0.923,1.074,0,0,0.291,3.237
2.031,0.872,1.475,0,1,0.202,6.424
2.728,0.223,0.953,0,0,1.859,3.29
3.871,0.829,1.558,0,1,3.026,4.539
2.62,0.499,0.99,0,0,3.21,4.23
2.126,0.977,0.771,0,0,3.795,4.762
2.777,0.56,1.127,1,0,1.433,4.767
3.023,0.56,1.168,0,1,2.294,3.924
2.888,0.405,1.472,1,2,1.522,5.105
1.822,0.681,0.794,0,0,2.335,3.696
3.7,0.223,1.556,0,1,2.446,3.662
3.566,0.134,1.595,0,0,1.94,3.719
1.594,0.223,1.068,0,0,0.202,4.564
1.975,0.802,0.775,1,0,2.799,4.227
3.74,0.134,1.581,0,0,2.274,4.396
2.183,0.93,0.846,0,0,1.395,3.666
3.164,2.044,0.83,0,1,4.912,6.113
1.512,0.64,1.844,0,0,0.347,3.203
3.065,1.079,0.825,0,0,5.472,6.882
3.103,0.134,1.016,0,0,2.193,3.22
2.508,0.58,0.941,0,0,1.701,3.766
3.026,0.405,1.548,0,1,1.373,2.84
4.191,0.762,2.195,0,0,1.239,2.618
3.035,0.223,1.662,0,0,1.209,2.217
3.03,1.821,1.027,0,2,5.469,6.897
1.94,0.749,1.066,0,0,1.492,2.99
3.126,0.693,1.69,2,2,1.024,4.282
2.878,0.134,1.684,0,0,0.8,2.436
2.462,0.223,1.669,0,0,0.408,1.524
1.636,0.331,1.265,1,1,-0.38,2.766
2.217,0.872,0.875,0,0,1.769,4.182
4.216,0.223,1.248,0,0,4.177,5.78
3.26,0.829,1.676,0,1,1.453,3.77
3.599,0.702,1.514,2,1,3.247,6.183
1.962,1.345,0.783,0,0,3.617,5.752
2.43,0.496,0.946,0,0,2.241,3.568
1.844,1.275,0.804,0,0,3.109,6.72
4.061,0.134,1.658,0,0,-0.294,3.151
1.778,0.223,1.203,0,0,0.156,3.048
3.332,0.134,1.294,0,0,2.242,3.374
2.448,0.638,1.121,0,0,1.701,2.904
2.609,0.604,1.529,0,0,2.419,3.572
2.374,0.811,0.817,1,0,2.841,5.277
2.534,0.872,1.619,0,0,-1.186,2.732
3.137,0.251,1.335,0,0,1.141,2.412
3.003,0.134,1.413,0,0,2.242,2.647
2.126,0.83,0.899,0,0,3.478,4.552
4.88,0.134,1.853,0,0,2.217,4.77
2.9,1.275,0.913,0,1,3.574,6.564
2.565,0.452,1.529,0,0,0.242,2.115
2.986,0.961,1.669,0,4,1.798,3.152
3.014,0.56,1.987,0,1,0.538,3.496
2.987,1.076,0.921,0,1,3.318,6.077
2.435,0.331,1.532,0,1,0.586,2.014
2.982,0.496,1.151,0,1,1.783,3.665
3.596,0.972,0.941,0,1,4.179,4.828
2.309,0.907,0.871,0,0,3.046,3.775
3.029,0.331,1.847,0,0,0.314,2.474
3.001,0.134,2.92,0,0,-2.884,2.375
1.713,1.098,1.752,0,0,-0.297,3.046
3.55,1.182,1.624,0,0,2.433,4.811
3.13,0.429,0.88,0,0,2.679,5.229
3.9,0.429,1.572,0,1,2.297,3.842
3.073,0.693,1.851,0,2,0.787,4.016
2.118,0.956,1.643,0,0,-2.03,3.638
3.282,0.56,1.749,0,2,1.117,3.757
4.532,0.405,1.189,1,4,4.639,5.307
2.748,0.223,2.048,0,0,0.8,1.462
2.507,0.405,1.652,1,1,0.888,4.603
4.288,0.865,1.327,0,0,4.295,5.642
4.057,1.032,1.183,1,3,4.754,8.201
3.993,0.223,1.214,1,0,3.563,4.611
2.512,0.134,1.293,0,0,0.846,2.811
2.815,0.56,1.585,1,1,0.43,4.59
2.086,0.64,0.838,0,0,2.127,4.459
3.86,0.223,1.55,0,1,3.661,4.51
3.924,0.693,1.707,0,2,2.314,4.713
1.844,1.275,0.804,0,0,3.109,6.784
2.092,1.359,2.273,1,1,1.246,4.796
3.035,0.223,1.941,0,0,1.209,2.107
4.037,0.134,1.563,0,0,3.806,5.18
2.252,1.075,0.885,0,0,2.005,5.303
3.277,0.486,1.416,0,0,2.604,5.47
1.961,0.134,1.27,0,0,0.156,2.505
1.832,1.209,1.364,0,0,-0.792,3.828
3.734,0.223,1.45,2,1,2.642,3.84
2.8,0.693,1.091,0,1,1.437,3.603
2.216,0.582,0.839,0,0,2.127,4.353
3.361,0.223,1.437,1,2,2.021,3.168
2.233,0.46,0.789,1,0,2.206,4.96
3.055,1.273,1.132,0,0,2.931,5.393
3.103,0.134,1.016,0,0,2.193,3.651
2.95,1.772,1.351,0,4,3.11,5.383
3.036,0.405,1.205,1,0,1.807,3.733
3.41,0.223,1.278,1,2,1.947,2.737
2.126,0.83,1.455,1,0,2.459,4.184
2.377,0.331,1.734,0,0,-0.534,1.474
2.396,1.593,1.351,0,0,3.32,6.023
2.085,1.079,0.895,0,0,4.063,4.89
2.918,0.223,0.944,3,0,2.066,4.59
2.544,0.223,1.245,0,0,1.064,1.408
2.639,1.462,0.83,0,0,5.206,5.985
3.776,0.405,0.92,0,0,3.306,4.691
3.343,1.068,0.923,0,0,2.538,3.327
2.684,0.988,1.226,0,1,3.076,4.404
3.407,0.0,1.111,0,0,3.259,4.192
2.594,0.251,1.287,0,0,0.454,1.749
3.514,0.134,1.07,1,0,3.315,7.809
2.888,0.251,1.771,0,0,1.398,2.983
3.014,0.56,1.781,0,0,-0.115,0.898
3.609,0.811,1.189,0,0,3.291,5.115
3.618,0.842,1.686,0,2,1.661,5.184
2.024,0.405,1.605,0,1,0.133,1.307
2.08,0.891,0.816,0,0,2.729,4.332
2.765,0.331,0.951,0,1,1.49,2.55
3.389,0.223,0.849,0,1,3.587,4.108
2.024,0.977,1.328,0,0,2.604,5.052
2.928,1.113,1.185,0,1,2.927,4.141
3.358,1.348,1.328,0,0,1.89,3.852
3.73,0.829,1.562,0,1,3.182,4.732
1.439,1.079,1.867,0,0,2.226,3.402
2.677,0.331,1.582,0,1,0.586,2.895
2.189,1.586,2.0,0,0,3.291,5.242
4.219,1.033,0.963,0,1,4.246,9.354
4.137,0.223,1.542,0,1,4.234,5.194
3.219,0.811,1.151,0,0,2.604,3.397
3.057,1.636,0.995,0,2,4.452,8.433
3.641,0.331,1.933,0,1,1.565,2.67
2.442,0.934,0.984,0,1,2.991,4.208
3.596,0.604,1.515,0,0,4.673,5.363
3.005,1.683,0.774,0,0,4.804,7.287
2.536,0.764,1.165,0,1,2.619,4.191
2.834,0.134,1.322,0,0,1.199,2.413
2.971,0.972,1.255,0,2,2.052,4.565
3.818,0.693,1.627,2,2,2.217,5.522
2.094,0.827,0.86,0,0,1.886,4.239
2.523,0.56,1.602,1,1,0.052,4.384
3.049,0.762,1.258,0,2,1.996,4.369
2.536,0.496,1.482,0,1,0.204,3.03
4.324,0.0,1.205,0,1,4.738,4.302
3.111,0.331,1.011,0,1,2.042,3.25
3.905,0.56,1.399,1,0,2.65,4.947
2.429,0.405,1.954,0,0,-0.473,0.931
3.332,0.134,1.294,0,0,2.51,3.436
2.748,0.223,1.705,0,0,0.8,1.063
3.793,0.134,0.93,0,0,4.054,6.038
3.763,0.916,0.878,0,6,2.918,4.818
3.756,0.0,0.964,0,0,4.23,4.425
4.077,0.956,1.909,0,0,3.234,4.448
3.605,0.0,1.15,0,0,3.562,4.829
2.43,0.496,0.946,0,0,2.241,3.66
4.085,0.134,1.482,0,0,4.234,5.63
2.24,0.405,1.203,0,0,-0.316,2.286
2.508,0.58,0.941,0,0,1.701,3.242
3.888,0.693,0.978,0,2,4.633,6.6
1.814,1.316,1.074,0,1,1.119,3.35
3.452,0.331,1.476,1,0,2.402,3.87
3.252,0.134,0.875,0,0,2.859,5.292
3.26,0.405,1.151,1,0,2.11,3.835
2.238,1.513,2.078,0,0,0.489,4.513
2.251,0.638,0.871,1,0,1.61,4.416
3.39,0.934,0.889,0,0,4.436,5.264
4.258,0.223,1.538,0,1,4.506,5.741
2.508,0.58,0.941,0,0,1.701,3.345
3.641,0.405,1.531,0,1,3.289,3.182
3.67,0.728,2.11,0,3,2.288,2.964
3.277,0.486,1.343,0,0,2.604,3.736
2.726,0.496,1.179,0,1,1.06,2.126
2.019,1.126,0.793,0,0,3.314,5.001
2.396,0.223,1.778,0,0,0.347,1.121
2.98,0.251,1.959,0,0,-0.063,1.651
2.836,0.693,1.43,0,2,0.434,3.178
2.034,0.64,1.727,0,0,0.8,2.072
2.26,0.499,0.907,0,0,2.876,3.645
3.001,0.651,0.781,0,0,4.203,5.262
2.183,0.93,0.846,0,0,1.395,4.739
3.485,0.223,1.614,0,0,1.94,2.853
2.665,0.251,1.762,0,0,-0.534,1.795
2.216,0.679,0.764,0,0,2.296,3.559
2.704,0.56,1.965,0,0,-0.917,0.15
2.548,0.947,1.051,1,0,1.66,3.588
1.855,1.067,1.244,0,0,1.587,3.487
2.442,1.211,2.254,0,0,1.401,4.305
2.818,0.83,1.386,0,0,2.899,3.92
5.158,0.134,1.791,0,0,3.118,6.04
2.62,0.499,0.99,0,0,2.942,4.402
3.815,1.825,1.351,0,0,-0.45,4.691
4.216,0.223,1.248,0,0,5.089,5.896
2.309,0.907,0.871,0,0,3.046,3.782
2.374,1.16,0.979,0,1,3.818,5.048
4.141,0.134,1.22,0,0,4.833,6.233
3.027,0.331,1.011,0,1,1.807,3.009
3.171,0.134,1.189,1,0,2.42,3.569
2.634,0.223,1.298,0,0,0.943,3.131
3.814,0.331,1.225,0,1,3.345,3.698
3.333,0.405,0.963,1,0,2.974,4.632
2.857,0.973,1.838,0,2,1.121,5.311
2.583,0.762,1.104,0,1,1.968,3.882
1.883,0.711,1.162,0,0,0.602,2.924
3.81,1.025,1.055,0,2,0.215,3.838
2.67,0.496,2.047,0,0,-0.917,1.842
1.094,1.236,1.461,0,1,0.996,1.911
3.315,0.223,0.799,0,0,3.127,4.507
1.783,0.57,1.187,1,0,2.033,6.064
3.641,0.331,1.933,1,0,1.971,3.246
3.134,0.223,1.193,0,0,1.548,2.692
3.277,0.223,1.633,0,0,1.587,2.98
3.369,0.134,1.614,0,0,1.587,3.252
2.396,0.223,1.778,0,0,0.347,0.778
2.086,0.64,0.838,0,0,2.127,3.995
3.376,1.278,0.915,0,0,5.934,4.862
2.591,0.331,1.629,0,0,0.874,2.395
4.247,0.58,1.36,2,1,3.062,5.066
2.251,1.501,1.197,0,0,4.19,5.632
1.925,1.318,0.595,0,0,3.764,4.705
2.878,0.134,2.102,0,0,0.8,1.932
3.171,0.134,1.011,0,0,2.186,3.984
2.377,0.827,0.938,0,0,2.239,5.146
3.52,0.223,1.562,0,1,2.129,3.446
3.461,0.223,1.12,0,0,2.813,4.463
2.085,1.079,0.895,0,0,4.063,4.79
2.11,0.58,0.805,0,0,1.61,3.391
2.344,0.582,1.59,0,0,1.467,3.109
2.685,0.405,1.145,0,0,1.246,3.11
2.624,1.621,1.502,0,0,3.213,6.314
2.366,0.405,2.606,0,0,-0.128,1.037
3.311,0.56,0.927,0,1,3.461,5.276
2.777,0.56,1.127,1,0,0.922,3.118
3.38,1.749,1.135,0,1,3.305,4.951
2.47,1.437,1.346,2,2,1.821,6.351
3.311,0.972,2.208,0,3,-0.165,4.244
3.012,0.223,0.76,0,0,2.637,4.538
2.0,0.693,1.128,2,2,-0.45,4.366
2.217,0.764,0.859,1,0,2.269,5.308
2.423,0.949,1.15,0,0,1.94,2.44
3.08,0.223,1.583,0,1,1.442,3.061
1.965,0.405,1.169,1,0,-0.145,3.66
3.874,0.638,1.352,4,1,2.575,4.561
2.359,0.405,0.814,0,0,0.893,6.4
1.946,0.223,1.929,0,0,-0.172,0.534
2.435,1.113,1.109,0,1,2.354,2.839
3.676,0.405,1.524,0,1,2.289,3.976
3.235,1.131,0.996,0,0,2.723,5.354
2.08,0.891,0.816,0,0,2.729,4.62
2.377,1.278,0.974,0,0,4.658,5.372
2.434,1.17,0.996,1,0,1.391,3.575
3.578,0.496,1.406,0,1,2.391,4.32
3.739,0.0,1.25,2,2,3.267,4.638
2.728,0.134,0.923,0,0,2.102,3.42
2.429,0.405,1.927,0,1,0.586,2.583
1.439,1.079,1.867,0,0,2.226,3.213
2.206,1.3,1.36,0,0,2.371,4.739
0.965,0.732,1.359,0,1,0.435,3.481
3.462,0.405,1.717,0,1,2.06,4.097
2.034,0.331,1.56,0,1,0.133,2.117
1.925,1.16,0.801,0,0,3.314,4.499
2.215,0.887,0.888,0,0,1.395,3.932
2.126,0.251,1.719,0,0,0.087,2.458
3.252,0.223,1.077,0,0,2.51,4.22
4.211,0.932,1.045,0,1,4.832,8.916
2.477,0.405,0.876,1,0,1.667,4.725
1.667,1.278,1.5,0,2,2.459,3.955
1.523,1.028,1.512,0,1,0.996,2.693
4.36,0.405,1.228,1,2,4.235,6.665
3.113,1.593,1.319,1,1,4.038,6.143
2.065,1.062,0.852,0,0,2.463,4.399
3.353,0.405,1.418,1,1,1.878,5.018
3.086,0.948,0.751,0,0,3.586,5.107
3.261,0.331,2.047,0,1,0.915,4.182
2.878,0.134,1.684,0,0,0.8,2.425
2.755,0.83,1.656,0,0,2.957,3.746
3.195,0.496,1.133,0,1,2.222,4.446
2.914,0.798,0.975,0,1,2.715,4.109
2.079,0.988,0.836,0,1,2.481,3.298
3.38,0.874,0.903,0,1,3.184,5.278
3.026,0.405,1.787,0,1,1.373,3.81
3.16,1.028,0.809,0,0,3.842,5.939
2.118,0.956,2.539,0,0,-0.406,3.845
2.297,0.762,0.798,0,0,2.841,3.608
3.739,0.0,0.7,0,0,4.76,7.346
4.031,1.113,1.106,1,2,4.579,7.64
2.025,0.932,0.851,1,0,2.212,4.672
3.08,0.223,1.462,2,0,1.442,2.494
2.62,0.288,0.839,0,0,3.045,3.753
2.137,0.223,1.179,0,0,0.655,3.288
3.554,0.629,0.945,0,0,3.315,3.459
4.05,0.693,1.381,0,2,3.618,5.367
3.405,0.251,1.56,0,0,1.272,4.132
3.003,0.134,1.032,0,0,2.152,4.171
4.436,0.764,1.227,0,1,5.258,5.412
2.348,0.762,0.85,0,0,2.621,3.769
3.046,0.0,1.333,4,0,2.352,3.614
3.802,0.405,1.527,1,0,1.869,3.7
3.102,0.693,1.316,0,2,2.005,3.451
4.166,0.134,1.556,0,0,4.098,5.912
3.669,0.223,1.599,0,0,3.186,3.984
3.609,0.811,1.208,0,0,3.291,4.469
3.532,0.134,1.11,0,0,2.813,4.165
3.067,1.286,1.309,0,0,2.223,5.318
2.456,0.331,1.259,0,1,0.496,2.858
3.675,1.112,1.314,0,1,3.474,4.706
2.233,0.57,0.883,0,0,1.501,3.325
4.268,0.916,1.19,0,2,1.936,7.849
2.824,0.223,1.051,0,0,1.533,4.05
4.628,1.209,1.968,0,0,2.437,4.551
2.216,0.582,0.839,0,0,2.127,3.979
2.585,1.586,1.352,0,0,4.092,6.551
3.914,0.56,1.637,0,1,3.048,3.926
3.2,1.531,1.059,0,0,3.089,6.16
3.26,0.251,1.287,0,1,1.994,2.745
3.444,0.88,1.466,0,3,1.95,4.004
3.073,1.493,1.279,0,0,3.737,6.645
3.526,0.711,1.596,0,3,0.757,3.423
3.26,0.811,0.702,0,0,4.412,6.298
3.459,1.47,1.483,0,2,0.491,4.486
3.026,0.251,2.164,0,0,0.314,1.812
3.128,0.713,0.797,0,1,4.017,5.039
3.26,0.405,0.921,0,0,2.782,4.578
3.08,0.223,1.583,1,0,1.442,3.727
2.094,0.827,0.86,0,0,1.886,5.39
3.651,1.151,0.911,0,2,2.278,4.54
3.585,0.331,1.491,0,0,2.224,3.53
2.329,0.711,0.868,0,1,1.229,3.097
2.665,0.251,1.762,0,0,-0.534,1.817
3.609,0.811,1.208,0,0,3.291,4.247
3.465,0.0,0.963,4,0,3.267,3.407
3.033,0.693,1.312,1,0,1.21,4.832
2.565,0.693,1.987,0,2,0.057,4.031
2.866,0.223,1.288,0,0,1.442,1.906
2.456,0.64,0.937,0,0,2.461,4.286
3.378,1.38,1.25,0,0,1.654,4.854
4.532,0.405,1.189,2,3,4.639,5.104
3.012,0.223,1.023,0,0,2.193,3.857
3.079,0.429,2.135,0,0,-0.521,1.308
2.377,0.827,0.938,0,0,2.239,3.759
3.143,0.134,1.641,0,0,1.209,2.692
3.896,0.134,1.984,0,0,2.591,3.45
2.019,1.126,0.793,0,0,3.314,4.73
3.137,0.405,1.312,0,2,0.749,1.086
3.11,0.0,1.079,2,0,2.42,3.974
4.05,0.693,1.381,0,2,3.618,5.49
3.33,0.56,1.555,0,2,1.042,3.691
3.436,0.331,0.951,0,0,2.786,4.338
2.862,1.54,1.226,0,0,3.896,6.171
3.961,0.405,1.083,1,0,3.987,5.842
3.588,0.251,1.506,0,0,1.564,3.57
2.086,1.685,0.396,0,0,4.594,6.72
2.031,0.496,1.952,0,1,-0.703,1.231
2.701,0.405,2.003,0,0,-0.081,0.533
3.08,0.405,1.609,1,1,1.619,4.786
3.24,0.693,1.487,1,0,1.002,3.598
2.233,1.07,0.841,1,0,3.377,5.251
3.316,0.223,1.571,0,1,1.795,2.856
1.5,0.405,1.669,0,1,-0.386,2.661
2.875,0.582,2.311,0,0,1.587,3.075
2.219,0.604,1.537,0,0,2.026,3.262
2.819,0.331,1.271,0,1,0.981,2.736
3.316,0.223,1.571,1,0,1.795,3.979
3.669,0.223,1.599,0,0,2.274,3.665
3.337,1.443,0.913,0,0,6.166,7.429
2.304,1.028,1.124,0,0,2.433,4.635
2.454,1.075,0.951,0,0,2.359,4.96
3.7,0.223,1.556,0,1,3.358,3.971
2.778,0.405,1.17,1,0,1.49,2.93
2.125,0.638,0.831,0,0,1.348,2.939
2.126,0.977,0.771,0,0,3.795,5.284
4.05,0.693,1.381,0,2,3.618,5.667
3.957,0.223,1.269,2,3,2.998,4.577
2.137,0.223,1.179,0,0,0.655,3.841
2.33,0.58,1.776,0,2,-0.741,0.89
3.52,0.223,1.59,0,0,1.882,2.883
3.134,0.223,1.319,0,0,1.795,4.804
3.08,0.827,1.079,2,0,1.155,5.478
3.277,0.223,1.633,0,0,1.587,2.182
3.249,2.071,1.327,0,0,3.948,6.446
3.333,0.405,0.963,1,0,2.974,5.63
3.652,0.872,0.867,2,3,3.983,4.04
3.605,0.0,1.15,0,0,3.562,4.51
3.023,0.56,1.168,1,0,1.239,3.278
2.57,1.028,2.137,0,0,1.466,2.973
2.508,0.58,0.941,0,0,1.701,3.799
2.08,1.033,0.902,0,0,3.157,3.693
3.436,1.225,1.839,0,0,2.054,5.087
2.165,0.134,1.912,0,0,-0.172,2.3
3.601,0.223,1.254,0,1,2.357,3.141
1.962,1.345,0.783,0,0,3.617,5.348
3.477,0.693,1.344,0,2,2.577,4.116
2.866,0.223,1.333,0,1,1.05,2.27
3.143,0.134,1.641,0,0,1.209,2.264
2.836,1.86,1.046,0,2,4.452,8.207
2.189,0.58,0.863,0,0,1.348,3.115
2.888,0.251,0.944,0,0,1.246,1.935
3.103,0.134,1.016,0,0,2.193,3.21
3.219,0.405,1.605,0,0,0.706,1.088
1.822,0.829,0.834,0,0,2.509,3.933
2.726,0.496,1.179,0,1,1.06,2.269
4.073,0.693,1.171,0,2,4.091,5.224
2.094,0.827,0.86,0,0,1.886,5.449
3.898,0.887,1.45,0,0,4.066,5.999
4.223,0.638,1.117,0,1,3.557,8.169
3.159,0.965,1.584,0,2,1.121,3.77
3.277,0.223,1.869,0,0,1.587,2.085
4.829,0.331,1.521,4,4,4.57,6.347
1.962,1.345,0.783,0,0,3.617,5.352
3.252,0.499,0.832,0,0,4.416,4.674
2.744,0.496,0.753,0,0,3.018,4.284
3.542,1.38,1.264,0,0,1.971,6.284
2.834,0.134,1.237,0,0,1.859,3.03
3.087,0.223,0.96,1,0,2.42,3.979
2.568,0.582,0.931,0,0,2.461,3.594
2.857,1.421,2.282,0,0,2.357,4.295
3.669,0.223,1.778,0,0,2.274,3.604
3.98,0.223,1.578,0,0,3.806,4.819
2.834,0.134,0.95,0,0,1.859,3.12
